origen,titulo,categorias,palabra_clave,votos,texto
1000 chistes,Alzheimer o Sida,médicos|cortos,alzheimer|sida|doctores,NA,"En la consulta del médico: - No recuerdo si era Alzheimer o Sida lo que su esposa tiene.  - ¿Y que hago Doctor?  - Puessss, déjela en medio del bosque sola y si sabe volver sola a casa sobretodo no se acueste con ella."
1000 chistes,Gallego condenado a muerte,varios,gallegos|condones|sida|cárceles,NA,"Un gallego es condenado a muerte, y le dan a elegir que tipo de condena prefiere. -Quisiera morir de sida -Muy bien, concedido Entonces un médico llega a su celda y le inyecta el virus del VIH, mientras el gallego empieza a reírse a carcajadas.  -Cómo puede reirse, si le estamos inyectando el virus del sida? -¡De lo tontos que son! -¿Qué? ¡Explíquese! -Jajajaja, es que tengo un condón puesto!"
1000 chistes,Eres tan feo que al nacer...,niños|cortos,madres|pechos|espadas,NA,Eres tan feo tan feo que tu madre en vez de darte el pecho te daba la espalda
1000 chistes,Bebés,niños|cortos,madres|comer,NA,"Un niño le dice a su mamá:  - Mamá, mamá, que tienes en la barriga?  -Es un bebé hijo.  - Y lo quieres mucho?  -Si hijo, lo quiero mucho.  - ¿Y por qué te lo comiste?"
1000 chistes,mal enteder,cortos|malos|animales|informática,peces|ordenadores,NA,"-¿pero que haces tirando esos portátiles al río? -!pero mira como beben los PC,s en el rio!"
1000 chistes,Nombres poco útiles,amigos|cortos|malos,policías|pozos,NA,"Habían tres amigos que se llamaban Tonto, Nadie y Ninguno. Tonto va y le dice al policía: Nadie se cayó al pozo y Ninguno lo está ayudando. Entonces el policía le responde: ¿Usted es tonto? Sí, ¡Mucho gusto!"
1000 chistes,Qué pesa más,animales|cortos,pájaros|bebes,NA,"- ¿Qué pesa más, un pájaro de 3 kilos o un bebé de 3 kilos? - El pájaro. Porque pesa 3 kilos y pico…"
1000 chistes,El apasionado marido,matrimonios|largos|buenos|verdes,parejas|televisiones,NA,"La señora, medio dormida en su cama, escucha cuando llega su marido del trabajo y siente como él la acaricia suavemente, casi de manera furtiva, como recorriendo suavemente la periferia de su cuerpo. Ella siente cómo su cuerpo reacciona inmediatamente a las caricias. El marido toma sus manos y las recoge, mete una de sus manos por su espalda y llega atrevidamente hasta sus redondeces.  En este momento, la señora está que arde, jadeante y deseosa. Entonces, sus piernas son abruptamente levantadas. La mujer siente que la pasión perdida por años ha regresado y le encanta sentir cómo su hombre apoya sobre ella todo su peso. La enerva sentir en su nuca el aliento calido de su marido. Ella se prepara, levanta las caderas; separa y flexiona sus piernas y se dispone a ser tomada, cuando de pronto su marido suelta sus piernas, gira sobre sí mismo y se acomoda en su lado de la cama.  La mujer, asombrada y respirando hondamente pregunta: -¿Qué pasó? Él responde: - Ya. - ¿Ya qué, grandísimo cabrón? - Ya duérmete, mi cielo. Ya encontré el mando de la tv."
1000 chistes,Mujer cagando,cortos|telón,mujeres|cagar,NA,- Se abre el telón y se ve a una señora haciendo fuerza para cagar ¿cómo se titula la película?  Apreti woman
1000 chistes,Coche fantástico y wáter,cortos|telón,coches|waters,NA,- Se abre el telón y aparece el coche fantástico y un wáter. Se cierra el telón. ¿Cómo se llama la película?  ....CAGATE KIT
1000 chistes,Como se dice diarrea,cortos|malos,diarrea|africanos,NA,- ¿Cómo se dice diarrea en africano? - Abunda la caca
1000 chistes,Historia de un Pirata,buenos|largos,piratas|marineros|tiburones|palomas,NA,"Un marinero y un pirata se encuentran en un bar y se empiezan a contar sus aventuras en los mares. El marinero nota que el pirata tiene una pierna de palo, un garfio en la mano y un parche en el ojo y le pregunta al pirata: - ¿Y cómo terminaste con esa pierna de palo? El pirata le responde:  - Estabamos en medio de una tormenta y una ola me tiró al mar, caí entre un montón de tiburones. Mientras mis amigos me subían un tiburón me arrancó la pierna de un mordisco. - !Guau! - replicó el marinero. - ¿Y qué te pasó en la mano, por qué tienes ese garfio? -Bien.... estábamos abordando un barco enemigo y mientras luchábamos con nuestras espadas contra los otros marineros, un enemigo me cortó la mano.' - ¡Increíble! - dijo el marinero -¿Y qué te paso en el ojo?' - Una paloma que iba pasando y me cayó excremento en el ojo. - ¿Perdiste el ojo por un excremento de paloma? - Bueno... es que era mi primer día con el garfio..."
1000 chistes,Tengo muchas cuentas,frikis|cortos,jueces|internet|informática|juez,NA,"Tengo cuentas en Gmail, en Hotmail, en Facebook y Twitter, también abrí cuentas en Foros, Blogs, PayPal... yo que se señor Juez... quizás también me abrí una cuenta en Suiza, yo que se..."
1000 chistes,Gordita hasta en sueños,niños,gordos|madres|pesadillas|sueños,NA,"- Mamá, hasta en mis sueños me dicen gorda.  - Tranquila hija, solo son pesadillas. - ¡¿QUESADILLAS?! ¿Dónde, dónde?"
1000 chistes,Jaimito y la letra i,Jaimito|cortos|profesores,clases|palabras,NA,"- A ver Jaimito, dime una palabra que tenga 5 ies. Y Jaimito le responde: - Pero profesora, eso es dificilísimo. - Muy bien Jaimito, muy bien."
1000 chistes,Madre en Windows,informática|niños|cortos,madres|hijos,NA,"- Mamá, ¿qué haces en frente de la computadora con los ojos cerrados? - Nada, hijo, es que Windows me dijo que cerrara las pestañas."
1000 chistes,Suegra sola,suegras|cortos|ladrones,miedo|robos,NA,Vivo con el miedo de que alguien entre a robar a mi pobre suegra que vive sola con sus joyas en la calle Alcinar de las Rojas nº 254 Edificio F piso 2º
1000 chistes,Mal aliento,cortos|médicos,doctores|aliento,NA,"-Doctor, ¿qué me recomienda para el mal aliento?  -Una relación a distancia."
1000 chistes,jaimito y su padre,Jaimito|infidelidad,llaves|paraíso,NA,Jaimito le pregunta a su padre:  - Papá papá! ¿Qué hay entre las piernas de mamá?  - El paraiso  - ¿Y entre las tuyas?  - La llave del paraiso Jaimito - Pues ya puedes ir cambiando la cerradura que el vecino tambien tiene la llave
1000 chistes,El Inventor,cortos|profesiones,inventos|inventores,NA,"- ¿Y tú a qué te dedicas? - Soy inventor...me inventé la rueda, la radio, la penicilina... - Eso es mentira!! - ¿Ves? Me lo invento todo!"
1000 chistes,Hijos melódicos,cortos|malos|niños|amigos,música,NA,"Dos amigos: - Hombre, cuanto tiempo! Esta es mi hija, la menor. - Pues este es mi hijo, fa sostenido"
1000 chistes,El sujetador,profesiones|borrachos|cortos,sujetadores|gintonics,NA,"En una tienda: - Hola quisiera un sujetador para mi mujer - ¿Talla? - 90 - ¿Copa? - Pues... ya que te pones, un Gin-Tonic"
1000 chistes,El ladrón educado,ladrones|ancianos,viejos|policías,NA,"Caminaba un hombre anciano por un parque haciendo ejercicios y llega un joven que le pregunta: - Disculpe señor , ¿por casualidad no ha visto a un par de policías por el parque? Y el señor mayor le contesta: - Pues... no, ¿por qué? - Ah, entonces, arriba las manos que esto es un atraco."
1000 chistes,El jaguar,animales|cortos,buenisimos|jaguares,NA,- ¿Que le dice un jaguar a otro jaguar? - Jaguar you
1000 chistes,Alcoholemia con la guardia civil,borrachos|buenos,buenisimos|policías|coches,NA,"Un tio en su coche con una tajada importante. La guardia civil que le para y le pregunta: ha bebido usted?  Pues si, esta mañana se casaba mi hija y como no me gustan las misas me he ido al bar y me he bebido unas cuantas cervezas. Luego en el banquete me he apretado 3 botellas de Vega Sicilia y como una hija es una hija, por la noche en la celebración me he atizado 2 botellas de Johnny Walker etiqueta negra.   Y usted sabe que soy guardia civil y que esto es un control de alcoholemia?  Y usted sabe que esto es un coche inglés y que conduce mi mujer?"
1000 chistes,Mujer controlada,verdes|borrachos,policías,NA,"- Señora, control de alcoholemia. Sople aquí. - Pero oficial, ¡ESTE ES SU PENE! - Ah, no está tan borracha como creía. Circule, circule."
1000 chistes,Sillas en la cocina,Lepe|cortos,cocina|sillas,NA,- ¿Por qué los de Lepe no meten sillas en la cocina?  -Porque ven un tarro que pone NOCILLA
1000 chistes,Las gordas de lepe no cocinan,Lepe|cortos,gordos,NA,- ¿Por qué las gordas de lepe no entran en la cocina?  - Porque hay un tarro que pone SAL GORDA
1000 chistes,Un trabajo que te guste,cortos,trabajos|macarrones|felicidad,NA,Todos seríamos más felices si trabajásemos de lo que nos gusta. En mi caso es muy difícil encontrar trabajo de macarrones con queso.
1000 chistes,Las pulgas,verdes|animales,pulgas|dragones,NA,"Esto son dos pulgas que viven en un ombligo,y deciden hacer un viaje una para el norte y otra para el sur total dentro de mucho tiempo se encuentran las dos en el mismo sitio y dice la del norte  - Uuuuuuh! yo he visto unas pedazos montañas que de los altas que eran no podía ni subirlas, ¿y que como te ha ido a ti el viaje?  - Uuuuuuuuh! yo he visto una pedazo selva  Y le dice la otra pulga: - ¿Y no te has perdido? - No, porqué había por allí un dragón y me ha sacado."
1000 chistes,La panaderia,profesiones|amigos,panaderías|incendios,NA,- Mira se esta quemando la panaderia de don chano - Después le preguntamos - ¿Preguntarle qué? - Si tiene pan tostado
1000 chistes,El taxista nervioso,buenos|largos|profesiones,taxistas|funerarias,NA,"Un pasajero le toca el hombro al taxista para hacerle una pregunta. El taxista grita, pierde el control del coche, casi choca con un camión, se sube a la acera y se mete en un escaparate haciendo pedazos los vidrios.  Por un momento no se oye nada en el taxi, hasta que el taxista dice: - Mire amigo, jamás haga eso otra vez!!!. Casi me muero del susto!!!!. El pasajero le pide disculpas y le dice: - No pensé que fuera a asustarse tanto si le tocaba el hombro. El taxista le dice: - Lo que pasa es que es mi primer día de trabajo como taxista. - ¿Y qué hacía antes?. - Fui chófer de un coche funerario durante 30 años."
1000 chistes,La dieta de la semana,amigos|matrimonios,dietas|esposas,NA,Un hombre le dice a un amigo: - Mi esposa está en una dieta de tres semanas. - ¿De verdad? ¿Cuánto ha perdido hasta ahora? - Dos semanas.
1000 chistes,Dejé de hacer Surf,cortos|buenos|niños,surfistas,NA,Cuando tuve a mi hija dejé de hacer Surf. Ahora la llaman la niña del exsurfista.
1000 chistes,Vamos con Dios,religión|cortos,policías|motos|monjas,NA,"Van dos monjas en una moto individual, les para la Guardia Civil y les dice el guardia: -¿Es una moto individual? -Sí, agente. -Multa por ir dos. -Pero, agente, vamos con Dios. -Pues multa por ir tres."
1000 chistes,Indio saber mucho,buenos|largos,vaqueros|indios|oeste|carretas|caballos|rifle,NA,"Un vaquero encuentra un indio acostado a la orilla del camino con la oreja pegada a tierra. Curioso por esta costumbre india le pregunta qué pasa. El indio le contesta: - Carreta grande, cuatro ruedas, cuatro caballos, carreta llevar hombre blanco, rifle en brazos, al lado hombre blanco, mujer bonita, pelo largo, mujer llevar niño recién nacido en brazos. El vaquero sorprendido le comenta: - ¡Caramba!, yo había escuchado de la habilidad de los indios para detectar si vienen caballos o carretas con solo pegar el oído a tierra pero usted me ha sorprendido, ¿Cómo es que puede dar tantos detalles con solo pegar su oído a tierra?  - Es que, ¡Acaba de pasarme por encima!"
1000 chistes,Por qué lo hacen las mujeres,verdes,mujeres|interés,NA,"Un amigo le dice al otro: - Tú... ¿Qué piensas de las mujeres cuando practican el sexo con nosotros? ¿Lo hacen por amor o por interés? - La mía lo hace por amor... - ¿Cómo estás tan seguro? - Porque lo que es interés, no pone ninguno."
1000 chistes,Gays en verduleria,cortos|verdes,gays|bananas,NA,Habian una pareja de gays entran a una verduleria - Hola verdulero me da dos bananas! - El minimo de compra es de tres unidades Entonces le dice al otro gay - Y... con la otra que hacemos? - ....Nos la comemos!!!
1000 chistes,El cura Granadino,religión|largos|buenos,granada|sevilla|curas,NA,"Un cura granadino está en la iglesia y viene el obispo y le dice: -TIenes que irte a sevilla. Y el cura, que odia a los sevillanos, se tuvo que ir. Entonces está dando la primera misa y empieza a hablar de Adán y Eva: -Adán, bueno, puro... ¡del barrio de la Chana, de Granada! -Eva, mala, impura... ¡del barrio de la Macarena, de Sevilla! Y todo el mundo alborotado. Al día siguiente da la segunda misa y se pone a hablar de Caín y Abel: -Abel, bueno, puro... ¡del barrio del Zaidín, de Granada! -Caín, malo, impuro... ¡del barrio del Nervión, de Sevilla! Y todo el mundo alborotado de nuevo. Al finalizar la misa, se le acerca el obispo de Sevilla y le dice: -Esto no puede seguir así, mañana das la última misa y te vas. A lo que piensa el cura: <> Al día siguiente habla de la Última Cena, donde todos los apóstoles se acercaban a Jesús diciendo: -¿Seré yo, maestro? -No, no serás tu, Pedro. -¿Seré yo, maestro? -No, no serás tu, Juan. Así hasta que le toca el turno a Judas y este se acerca y le dice: -¿¿¿¡¡¡¡ZERÉ YO, MIÁRMA!!!!???"
1000 chistes,Paquito Chocolatero.,telón|cortos,Franco|porros,NA,Se abre el telón: sale Franco fumándose un porro. Se cierra el telón: ¿cómo se llama la película? PAQUITO EL CHOCOLATERO.
1000 chistes,Vela comestible,verdes|infidelidad|niños,cortos|velas,NA,"- Mamita mamita las velas se comen?? - No hijito, ¿por qué lo dices?..... - Porque anoche mi papi le dijo a la empleada: Apague la vela que me la voy a comer"
1000 chistes,"Mamá, mamá, ¡me llaman friki!",niños,frikis|sims,NA,"Un niño viene del colegio y le dice a su madre: -Mamá, mamá, ¡en el colegio me llaman friki! A lo que le responde la madre: -¿Y tú que haces hijo? Y el niño: -Les creo en los sims y les mato."
1000 chistes,Ingenieros en un coche.,informática|buenos,mecánicos|ingenieros,NA,"En un coche hay tres ingenieros: uno es mecánico, otro electrónico y el último es informático. De repente el coche se para, y el mecánico dice: -Me bajo y le echo un vistazo a ver que pasa. El ingeniero mira el motor, aprieta las tuercas, revisa la gasolina... -Pues yo no he encontrado nada raro, dice. -Espera que me bajo yo a ver si le falla algo eléctrico, dice el segundo. El electrónico mira la conexión entre cables, la batería... -Pues yo me he quedado igual, dice. Y a esto salta el informático: -Oye, ¿qué tal si probamos a bajarnos y a subirnos otra vez?"
1000 chistes,Es distinto,ancianos|cortos|malos|verdes,pelotas,NA,No es lo mismo decir 'una pelota vieja' que una 'vieja en pelotas'.
1000 chistes,Actrices de cine,religión|buenos,curas|actrices|cine|Dios,NA,"Un hombre entra al confesionario en una Iglesia: - Padre, he pecado. He sido infiel a mi esposa. Soy productor de cine y hace unos quince días me acosté con Jennifer López. - ¿Algo más que confesar hijo? - Sí padre. La semana pasada fui débil y también me acosté con Nicole Kidman y Julia Roberts. El cura muy calmado le pregunta: - ¿Algún otro pecado, hijo? - Sí padre, esta semana no he podido contenerme y participado en un trío con Cameron Díaz y Cindy Crawford. - Lo siento hijo, pero no te puedo absolver, le responde el cura. - ¿Por qué no Padre, si la misericordia de Dios es infinita? - Sí, pero ni Dios te va a creer que estás arrepentido."
1000 chistes,GUIRIGAY,amigos|cortos,gays|guiris|bares,NA,"Dos amigos entran, sin saberlo, en un bar de ambiente y muy mala reputación, oscuro y totalmente atestado de gente... y le dice uno al otro: - Vaya 'guiri...gay' que hay aquí, no? A lo que el otro le responde: - Me parece que hay más... de lo segundo que... de lo primero!!!"
1000 chistes,Tengo soriasis,verdes|médicos,Soria|Burgos|morcillas|soriasis,NA,"Va una mujer al médico con un problema de piel y le dice el médico: -Señora, usted tiene soriasis. -No perdone pero se equivoca yo nunca he estado en Soria. -¡Y yo nunca he estado en Burgos y mire que morcilla tengo!"
1000 chistes,Zapatos pequeños,suegras|infidelidad|buenos|largos|zapatos|infidelidad,famílias|yonkis|zapatos,NA,"Un señor entra a una zapatería y se le acerca el vendedor: -Buenas tardes, ¿En qué puedo ayudarle señor? -Quiero unos zapatos del número 42. -Verá, señor, no es por llevarle la contraria, pero a simple vista puedo ver que usted calza almenos un 46. -Eso no me importa, yo quiero un número 42, si no, no compro nada y me voy a otra tienda. -Está bien (le contesta el vendedor con cara de asombro). El dependiente le trae unos zapatos del número 42; el hombre se los prueba y le dice: -Perfecto, me los llevo puestos. Cuando va de salida del comercio, el vendedor se da cuenta de que el hombre va sufriendo porque los zapatos le aprietan mucho. El vendedor, intrigado de por que compró unos zapatos tan pequeños, se le acerca y le dice: -Señor, disculpe, pero no me puedo quedar con la intriga, ¿cómo es que compra sus zapatos tan pequeños, si se ve que está sufriendo porque no le quedan bien? - Mire, le voy a contar mi historia: mi mujer me engaña con un compañero de trabajo; mi hija es prostituta; mi hijo es yonki; mi suegra vive con nosotros y me tira en cara la culpa de todos los problemas familiares... ¡El único placer que tengo en esta vida es llegar acasa y quitarme estos malditos zapatos!"
1000 chistes,Supervisión,niños|cortos,coches,NA,"- Mama, ¿puedo coger el coche? - No sin mi supervisión - Uy, perdona por no tener superpoderes como tú"
1000 chistes,EL rabino,amigos|religión|verdes|cortos,rabinos|circuncisión,NA,"- A mi me han circuncidado - ¿El rabino? - No seas cursi, hombre, LA POLLA"
1000 chistes,Cuentas de....,varios,internet|twitter|Facebook,NA,"- ¿Tienes Facebook? - Si - ¿Twitter? - Si - ¿Página Web? - Claro - ¿Instagram? - Si - ¿Vida? - Si, pero casi nunca la uso"
1000 chistes,Crítica constructiva,cortos|malos,críticas,NA,- Ayer asistí a un curso de crítica constructiva - ¿Y qué tal? - Fue una mierda
1000 chistes,Sensibilidad alcoholica,borrachos|cortos,tierra,NA,Los borrachos son los seres más sensibles que existen: Son los únicos capaces de percibir el movimiento giratorio de la Tierra
1000 chistes,El español y el americano,religión,música|violines|Cristo|virgenes,NA,Va un americano y se encuentra con un español y empiezan a hablar. Y el americano le dice al español. -Yo tengo un buen trabajo y toco es violín. Y cuando voy a tocar a la virgen le saco unas gotas que te cagas Y ahora le dice el español. -Pues yo también toco el violín y cuando le toco al cristo me dice. -Menos mal que tu tocas el violín mejor que aquel americano que hace llorar a mi madre cuando toca
1000 chistes,Ahóguenlo,niños|religión|ancianos,abuelos|bautizos,NA,- ¡Ahoguen a ese sinvergüenza! - ¡Cállese abuela loca! Que estamos en el bautizo de su nieto.
1000 chistes,Bocadillo,parejas|verdes,mayonesa|hermanos,NA,Una pareja está en la cama y el hermano pequeño de la novia se encuentra en la cama de abajo. Empiezan a hacerlo y el niño pregunta:  - ¿Que hacéis?  - Un bocadillo - Vale Momentos después - ¡Cuidado! - ¿Que pasa?  - Que me estáis manchando con la mayonesa
1000 chistes,El mayordomo,cortos|verdes,mayordomos|homosexuales|besos,NA,"- Mayordomo - Si? señor - Tráigame la infusión de todas las tades - Té, amo - Basta ya de fingir, yo también. ¡Béseme canalla!"
1000 chistes,Madre e hijo en el ginecólogo,verdes|largos|buenos|médicos|niños,buenisimos|doctores|ginecólogos|sífilis,NA,"Un día acude al ginecólogo una mujer con su hijo de 10 años. El ginecólogo le dice a la mujer: - Su hijo debe esperar fuera. La mujer responde: - No se preocupe doctor, él ya sabe muchas cosas acerca del sexo, se lo hemos aclarado todo en casa.  El ginecólogo sonríe y le hace una pequeña prueba con el hijo de la señora. Toma a la mujer de los pechos y le pregunta al niño: -¿qué es lo que acabo de hacer? -Acabas de tocarle las tetas a mi mamá.  Curioso, el ginecólogo, quiere saber que más sabe el niño y procede a hacerle oral a la mujer. El niño dice: -Acabas de hacerle un cunnilingus a mi madre.  El ginecólogo esta impresionado y coge a la madre, la acuesta en la camilla y se la beneficia. Cuando termina, le pregunta al pequeño : -¿Y ahora qué diablos acabo de hacer? El niño contesta: -Ahora acabas de contraer Sífilis gilipollas, esa es la razón por la que vinimos a verte."
1000 chistes,A qué piso,animales|cortos,ratones|elefantes|ascensores,NA,Un elefante trabajaba en un elevador cuando llega un ratoncito y se mete al elevador y el elefante le pregunta: -¿QUE PISO?  y el ratoncito muy angustiado le contesta -¡MI COLITAAAA!
1000 chistes,Hippies,cortos|malos,tartamudos|hippies,NA,Que un tartamudo intente decir 'Hippie' y todo el mundo diga 'Hurra'
1000 chistes,La he cagado...,niños|malos,cagar,NA,"-Mamaaaa, ¡La he cagado, la he cagado!!!! -¿Que pasó hijo, que hiciste? -Iba a despertar a mi hermana con un pedo y ¡LA HE CAGADO!!!!"
1000 chistes,Extraño comportamiento,niños|médicos,doctores,NA,"Dígame, ¿ha notado algún comportamiento extraño en su hijo? -Si doctor, últimamente le sangra mucho la nariz. -Pues por ahí van los tiros..."
1000 chistes,Unicornio,amigos|cortos,bares|unicornios,NA,Dos amigos en el Bar: - Hoy al salir del curro he atropellado un unicornio!! - No jodas!! Tienes curro??
1000 chistes,Frutas y verduras,cortos|malos,verduras|frutas|plátanos|patatas|zanahorias,NA,Me he sacado el carnet de manipulador de alimentos... Ya tengo a los plátanos y a las patatas totalmente en contra de las zanahorias.
1000 chistes,Chúpa!,verdes|cortos,bostezos,NA,"-Chúpamela -No -Que me la chupesss -Que nooo!!! -Ya bostezarás, ya...."
1000 chistes,Niño que necesita un psicólogo,cortos|niños|verdes,psicólogos|uñas,NA,Un niño que pasa por el dormitorio de sus padres y les ve haciendo un 69 y dice:  - Hijos de puta!! Pues no me quieren llevar al psicólogo por morderme las uñas??
1000 chistes,El pelo de los Yonkis,cortos|malos,caballos|champús|caballo,NA,¿Sabias que los yonkis se lavan el pelo con champú de caballo?
1000 chistes,En un segundo,cortos,buenisimos,NA,En un segundo pueden pasar muchas cosas. Lo se porque vivo en un tercero y se oye todo!!
1000 chistes,Fea y...,buenos|cortos,feas,NA,"- Ayer me dijeron que soy fea. - No te preocupes, a mí me han dicho cosas peores - ¿Que te han dicho? - Que también eres bastante mala persona."
1000 chistes,Matrimonio de conveniencia,matrimonios|buenos,buenisimos|millonarios|saunas|compras,NA,"Un grupo de hombres estaba en el sauna de un club, cuando de repente, un móvil que estaba sobre uno de los bancos de madera empieza a sonar. Uno de los hombres lo coge y comienza a hablar: - ¿Si? - Hola cariño - Hola - ¿Estás en el sauna? - Si - Estoy en frente, en la tienda de ropa con un visón magnífico... precioso!!! ¿Puedo comprarlo? - ¿Y cuanto cuesta? - 2.500 euros nada más... - Bueno, está bien, cómpralo si tanto te gusta... - Ahhh y acabo de pasar por un concesionario Mercedes y vi el último modelo que salió al mercado. Es fantástico. Hablé con el vendedor y me dijo que nos hace precio de amigo... y como tenemos que cambiar el Audi que compramos el año pasado... - ¿Y cuánto es el precio de amigo? - Mi amor son sólo 44.000 euros... - Bueno, como tenemos dinero para gastar... Vale, pero por ese precio lo quiero con todos los extras posibles. - Y escúchame... antes de colgar... otra cosita... - ¿Que? - Hoy por la mañana pasé en frente de la inmobiliaria y vi que la casa que vimos el año pasado... está en venta. ¿Te acuerdas? Aquella con piscina, jardín y asador, completamente aislada en frente de aquella playa paradisiaca? - ¿Y cuánto están pidiendo? - Solamente 550.000 euros...¿increíble no? -Bueno, como no tenemos todavía muchas casas, podes comprarla. Pero paga como máximo 525.000 euros, vale? - Vale mi vida... Gracias... !!!Te quiero!!!! - Ciao... yo también... Después de cortar el hombre se dirige al grupo de amigos en la sauna y grita: - ¿De quien es este móvil?"
1000 chistes,Aeróbic,cortos|verdes,mallas|aeróbic,NA,"-Niña, a donde vas con esas mallas? -Voy a aeróbic -Joder que coñazo!! -Si, un rollo -No, no me has entendido..."
1000 chistes,Guarra,cortos|verdes,calipos,NA,Eres tan guarra que te comes los Calipo de rodillas
1000 chistes,Conferencia alcocholicos,matrimonios|borrachos,casas|mujeres,NA,-¿Donde vas con esa borrachera? -A una conferencia sobre el alcoholismo -¿Y quien la da? -La simpática de mi mujer cuando llegue a casa
1000 chistes,Hipotecas,cortos|malos,hipotecas|discotecas|bailar,NA,-¿Tu que opinas de las hipotecas? -A mi me parece cojonudo que los hipopótamos tengan un sitio para bailar
1000 chistes,Verse mejor,matrimonios|cortos,gordos,NA,"-Cariño, te veo mejor! -Pues estoy más gorda -Pues eso, que te veo mejor..."
1000 chistes,Condon de lana,cortos|médicos|verdes,condones,NA,"-Entonces doctor ¿Con este condón de lana se curará mi impotencia? -No, pero le sudará la polla!"
1000 chistes,Bebé feo,niños|cortos,mordor|feos,NA,Eres tan feo que cuando tus padres te llevaban en coche ponía: Bebé a Mordor
1000 chistes,Fea al médico,médicos|verdes,doctores|feos|lenguas,NA,"Una señora muy muy fea va al médico con su hija que es guapísima. Entran en la consulta del doctor y le dice el doctor a la niña:  - A ver, guapa. Desnúdate.  Y le dice la niña:  - No, doctor. Es mi madre la que pasa a consulta.  - ¡Ah! Esto… señora, saque la lengua!"
1000 chistes,Kung Fu,cortos|malos,muertos,NA,¿Por qué mataron a Kung Fu? Porque lo kunfundieron.
1000 chistes,Mujeres buscan a sus maridos,largos|buenos,feministas|supermercados|cachas|buenisimos,NA,"Iban 2 mujeres por el supermercado, cuando de repente chocan sus carritos. Una de ellas y dice: - Ops! Perdona, no te vi, iba distraída buscando a mi marido!  - Uuuiii! Yo también estaba buscando el mio...  - Si? Y como es?  - Ah! Es alto, moreno, ojos verdes, lleva unos vaqueros ajustados que le marcan su lindo culito y sus fuertes piernas. Una camiseta blanca, dejando a la vista sus musculosos brazos y resaltando sus pectorales trabajados.  - Y el tuyo?  - El mio que se joda! Vamos a buscar el tuyo!"
1000 chistes,Control de alcoholemia,buenos|borrachos,policías|asma|hemofílicos|diabéticos|coches,NA,"Un borracho va en el coche dando bandazos de lado a lado por lo que una patrulla policial lo detiene en el arcén . Al salir del coche el policía le dice que le va a hacer un control de alcoholemia a lo que el borracho le contesta : -No puedo , ya que tengo un asma muy grave y esto puede desencadenar un ataque. A lo que el policía le replica: -Entonces le tendremos que hacer un análisis de sangre. Contesta el borracho: -Eso no va a poder ser ya que soy hemofílico y si una herida está abierta puede ser que muera desangrado. El policía ya medio mosqueado le dice: -Me tendrá que dar entonces una muestra de orina. Dice el borracho: -No , ya que tengo diabetes y esto podría subirme azúcar y morir. Al policía ya le sale humo de la cabeza y le dice cabreado: -Entonces salga del coche y camine en línea recta para realizarle el test de equilibrio. El borracho de nuevo le responde: -No va a poder ser ¿Y por qué no? (Dice el policía) -Bueno por que estoy borracho!!!"
1000 chistes,Hola Hola,cortos,chinos,NA,Un español se encuentra a un chino y dice:  - ¡Hola!  Y el chino dice:  - Las 12:30.
1000 chistes,Locos y el tiempo,cortos,locos|tiempo|relojes,NA,- ¿Qué hace un loco golpeando un reloj?  - Está matando el tiempo.
1000 chistes,Ginecopsiquiatra,verdes|cortos,psiquiátricos|ginecólogos,NA,Mama!! mama!! tengo que ir al ginecopsiquiatra!!!  ¿Al ginecopsiquiatra? Siiii porque cuando me la meten me vuelvo locaaaa
1000 chistes,Disney hardware,cortos|malos,teclados|mouse,NA,Donald usa teclado y Mickey mouse.
1000 chistes,Loro todoterreno,buenos|animales,buenisimos|neveras|hornos|loros,NA,"Un hombre tenia un loro y este se pasaba el día cantando y hablando , entonces al hombre se le ocurre meter al loro en la nevera para ver si así conseguía que se callase, entonces lo mete a la nevera y se escucha: -Navidad , navidad dulce navidad.... Entonces el hombre lo coge y lo mete al horno y el loro sigue cantando: -Hawái , Bombay son dos paraísos... El hombre ya enfadado piensa , pues lo mato a ver si así se calla de una vez , entonces coge un cuchillo le corta el cuello y a los segundos aparece el espíritu del loro y empieza: -Devuélveme la vida que me la has quitado..."
1000 chistes,La mujer con la toalla,verdes|infidelidad|vecinos|infidelidad,duchas|toallas,NA,"Una bella mujer joven sale de la ducha, se envuelve con una toalla yavisa a su marido que ya puede ducharse. Cuando él entra en la ducha suena el timbre de la puerta. La esposa le dice que ella abre, y baja a abrir la puerta envuelta en la toalla. Al abrir la puerta se encuentra a su vecino Antonio, quien se queda sin palabras ante la visión que le ofrece la señora. Entonces, él saca dos billetes nuevecitos de 100 euros y le dice a ella que son suyos si deja caer la toalla hasta la cintura. Ella piensa, '¿por qué no?', de modo que deja caer la toalla y deja sus senos al descubierto , entonces coge el dinero. Antonio jadea ante lo que ve; saca prontamente otros 200 euros y se los ofrece por dejar caer la toalla hasta el suelo para ver todo el asunto. La mujer piensa que ya había llegado bastante lejos, así que no le importaba hacerlo, y deja caer la toalla al suelo enseñando su precioso cuerpo. Antonio la contempla un momento, le da las gracias y se va. Cuando ella sube de nuevo, su marido que acababa de salir de la ducha, le pregunta que quién había llamado a la puerta.  Ella contesta:  - Era nuestro vecino Antonio. - ¿Y ha traído los 400 euros que me debe? - pregunta el marido."
