"id","titulo","texto"
170,"Concurso de feos","Era un hombre tan feo tan feo que un día se presentó en un concurso de feos y le dijeron:#- Lo siento, no admitimos profesionales"
171,"El colmo de un contorsionista","- ¿Cuál es el colmo de un contorsionista?#- Que su novio rompa con él."
172,"El colmo de la oca","- ¿Cuál es el colmo de una oca?#- Que le guste jugar al parchís."
173,"Whisky doble","Un hombre entre en un Bar, se sienta y pide:#- Un whisky doble!!! Aunque con lo que tengo... no debería pedir eso.#- ¿Y qué tiene usted?#- Veinte céntimos"
174,"Usted me dirá","Un hombre entra en un Bar y el camarero le dice:#- Usted me dirá...#- Pues no estoy seguro, creo que un metro ochenta o por ahí"
175,"Elecciones","- ¿Por qué las elecciones están prohibidas en china?#- Porque sin elecciones no pueden nacer más chinos"
176,"Antes del matrimonio","Un hombre le pregunta a su amigo:#- ¿Tu te acostaste con tu mujer antes del matrimonio?#- No, ¿y tú?#- Yo si, pero solo porqué me dijo que iba a dejarte"
177,"Y tu suegra como es","- Y tu suegra como es?#- Bueno... si viviera en la India sería sagrada y si viviera en Inglaterra estaría loca"
178,"Tener la última palabra","Una amigo le dice a otro:#- Yo cuando discuto con mi mujer siempre tengo la última palabra#- ¿En serio?#- Si, siempre digo: 'Como tu quieras cariño'"
179,"Me deja a la mitad","Ente dos amigas:#- Lo que más odio de mi marido es que empiece a contarme un chiste y que me deje a la mitad.#- Pues lo que más odio yo del mio es que me deje a la mitad y que después empiece a contarme un chiste."
180,"Abuela mecánica","- Oye Juan, ¿a tu abuela le gusta la mecánica?#- No por qué#- Entonces es que la acaba de atropellar un autobús"
181,"Entendidos","- Me da la impresión de que tu y yo nos entendemos muy bien#- ¿Qué?"
182,"Preguntale al ladrón","Un hombre va a la comisaria y le pregunta al policía:#- Disculpe, quiero hablar con el ladrón que entró anoche en mi casa.#- ¿Para qué?#- Para preguntarle como lo hizo para no despertar a mi mujer"
183,"Meter la pata hasta el fondo","En una boda un hombre le dice:#- ¡Mira que es fea la novia!#- Pero ¡Como se atreve, es mi hija!!#- Perdone, no sabia que usted fuera el padre#- ¡¡Soy su madre, idiota!!"
184,"Necesito un libro con urgéncia","Un hombre entra en una librería y dice:#- Quería un libro sobre cómo hacer amigos, cabrón de mierda."
185,"Una buena noticia y una mala","Una secretaria le dice a su jefe:#- Tengo dos noticias que darle: una buena y otra mal#- Empiece por la buena#- Que usted no es estéril"
186,"Jefe despota","Un funcionario está hablando con otro:#- Pues nuestro jefe es un tirano, nos hace trabajar por diez#- ¿Y cuántos sois en vuestro departamento?#- Veinticinco"
187,"Adivino fail","Un hombre va a ver a un adivino, llama a la puerta y dentro le contestan:#- ¿Quién es?#- Pues vaya mierda de adivino..."
188,"Hombre pájaro","Un hombre va al circo en busca de trabajo y el dueño le pregunta:#- Bueno, ¿y usted que sabe hacer?#- Yo imito a los pájaros#- Ja! Eso lo sabe hacer todo el mundo#- Oh... bueno... en ese caso...#Y el hombre se fue volando"
189,"De 0 a 100","Le he comprado a mi mujer una cosa que se pone de 0 a 100 en dos segundos.#- Que es, un coche?#No, una bascula..."
190,"Huevo en el microondas","- ¿Qué pasa cuando metes un huevo al horno de microondas?#- ¡Pues que te pellizcas el otro!"
191,"Un hombre tan tan","Había un hombre tan, tan, pero tan tan tan... Tan tan tan que parecía una campana gigante."
192,"No puedo dormir","- Doctor, no puedo dormir#- Si me echo del lado izquierdo se me sube el hígado y si me echo del derecho se me sube el riñón.#- Pues, acuéstese boca arriba.#- Entonces se me sube mi marido."
193,"El sacacorchos","Por la noche suena el teléfono en la centralita de urgencias del hospital:#- Hola, es urgente, nuestro amigo se acaba de tragar un sacacorchos. Por favor vengan rápido!!!#Al cabo de un rato vuelve a sonar el teléfono de nuevo. La misma voz:#- Doctor, no corra, ya pasó. No hace falta que venga, hemos encontrado otro sacacorchos."
194,"La fresa y la pera","Estaba una pera en la parada esperando el autobús cuando llega una fresa y le pregunta:#Fresa: - Disculpe, ¿hace mucho que espera?#Pera: - Uy sí, desde que era pequeñita."
195,"De uvas","Están tranquilamente charlando dos dos uvas, una verde y una morada:#La uva verde le dice a la morada:#- 'RESPIRAAAAA!!!!'La uva morada le contesta a la verde:#- ' Y TU MADURAAA!!!''"
196,"Separación lógica","- Amigo mio, ¿sabes que mi mujer me ha dejado?#- ¿Y eso? ¿Que pasó? Si se os veía tan bien…#- Pues nada, dice que no le presto atención, y no se que más, empecé a ignorarla…"
197,"Profundo","- ¿Quien es el hombre que piensa más profundo?#- El minero"
198,"El nombre del profesor","Entra un nuevo profe al curso y se presenta:#- Buenos días, mi nombre es Largo.#Dice Jaimito:#- No importa, tenemos tiempo."
199,"La muerte de los espermatozoides","Primer acto: Muere un espermatozoide. Segundo acto: Mueren cien espermatozoides. Tercer acto: Mueren 1000 espermatozoides.#- ¿Como se llama la obra?#- El Semen terio"
200,"Desamores internacionales","Como se dice divorcio en Arabe?#Se aleja la almeja.#Y en Chino?#Chao Chochin."
201,"Decisiones importantes","- ¿Quieres casarte conmigo?#- Estoy asando un pollo.#- ¿Y qué tiene que ver eso?#- Que yo nunca tomo decisiones importantes al asar"
202,"Un gran año","- Cari, presiento que éste va a ser un gran año.#- ¡Ya lo has dicho tres veces! ¡Que sepas que mi madre va a salir bien del hospital!"
203,"Cinco libros","La profesora le pregunta a Jaimito:#- ¿Qué 5 libros te llevarías a una isla desierta?#- ¡¡¿TENGO QUE LEER 5 LIBROS?!!"
204,"Un bombón","- Me pones un cafe bombón?#- Como lo quieres, guapo!#- Bombón!#- Guapo!#- Coño con leche condensada!!!#- Hay que guarrete eres, guapo!"
205,"Por navidad quiero...","- ¿Qué quieres para Navidad hijo?#- Un iPhone, una cámara réflex y un ordenador#- Vale.... lo apunto...: Un pijama... y unos calcetines"
206,"Voy al gimnasio","- ¡Oye, has bajado mucho de peso!#- Es que voy al GYM#- ¿Y te ponen a hacer mucho ejercicio?#- No, pero con lo que me cobran casi no como"
207,"Que me pongo","- Amor, ¿qué me pongo?#- Ponte a dieta"
208,"Desactivar una bomba","- Atención, capitana: hay una bomba. ¿Qué cable corto?#- El malva, pero no el rosa, ni el salmón.#- Vale. Traed un recogedor y muchas bolsas."
209,"Tu nombre es...","- ¿Cómo te llamas?#- Jara.#- ¡Qué nombre más bonito!#- ¿A que ji?"
210,"La gran película","- “Desgarradora. Magnífico film” (New York Times).#- “Irrepetible” (Fotogramas)#- “Única. Excelente” (Le Monde).#- “Una puta mierda” (Mi padre)."
211,"Palabras con amor","Es una pareja, y le dice el hombre a la mujer:#- Cariño, dime una palabra con amor.#- AMORTIGUADOR."
212,"Minerales extraños","Profesor:#- Jaimito, dígame qué mineral es éste.#Jaimito:#- Es una piedra.#Los compañeros, susurrando:#- Basalto Jaimito, basalto.#Jaimito:#- ¡¡¡UNA PIEDRAAAA!!!"
213,"Monjas entre rejas","- Se abre el telón y aparecen dos monjas entre rejas. Se cierra el telón.#- ¿Cómo se llama la película?#- Sorpresa, sorpresa."
214,"LO DEL MEDIO","Una chica le dice a otra:#-El primer amor y el último son inolvidables#-¿Y lo del medio?#-Mujer, lo del medio, cuanto más gordo, mejor."
215,"¿Qué hacía?","¿Que debía estar haciendo con la vaca el que descubrió la leche de vaca?"
216,"Ángeles y demonios","- Oye tío mi suegra es un ángel#- Que morro... la mía todavía no ha muerto!"
217,"Tiene un peligro","Un hombre le dice a un amigo:#- Cuando mi mujer tiene muchas ganas, salgo corriendo. ¡Tiene un peligro!#- A mí me pasa lo mismo. ¡Qué peligro tiene!#- ¿Tu mujer?#- No, la tuya."
218,"DJ","Sabes por qué no se puede discutir con un DJ?#Porque siempre están cambiando de tema."
219,"Voto ideas","- Yo no voto personas, ¡yo voto ideas!#- ¿Y si te doy un millón de euros?#- Pues voto a quien sea, porque la idea no es tan mala"
220,"Condenado erudito","Un condenado a muerte está pasando su última noche en capilla. Recibe la visita del alcaide, quien se pone a dialogar amablemente con él.#-Bueno, ya sabes que a los condenados a muerte se les concede un último deseo. ¿Quieres alcohol?#-No, gracias.#-¿Cigarrillos quizá?.#-Tampoco.#-Bueno, di qué es lo que deseas.#-Me gustaría aprender el chino por correspondencia."
221,"Mi marido es un bombón","- Mi marido es un bombón.#- ¿Es lindo?#- No, es redondo y lleno de licor."
222,"Mensaje en la neveram","Mi mujer está tonta, me ha dejado una nota en el frigorífico que pone:#“Me voy de casa porque esto no funciona”#Y llevo dos horas mirándolo por todos los sitios, y esto enfría de puta madre"
223,"Los Miserables","- Le he pedido a mi marido que me llevase a ver LOS MISERABLES y hemos estado una hora sentados frente a la puerta del Congreso de los Diputados."
224,"Problema del hotel","La esposa que llama desesperada y molesta a la recepción del hotel:#- Por favor vengan rápido que estoy teniendo una discusión con mi esposo y él dice que va a saltar por la ventana.#De la recepción le responden:#- Señora, ese es un asunto personal.#Y la esposa contesta:#- Sí, señor, pero la ventana no se abre, y eso ya es un problema de mantenimiento de ustedes."
225,"La oreja de la vaca","Un hombre de 70 se casa con una de 30, y le pregunta a su amigo#- ¿Cómo me ves al lado de esta mujeraza?#- Bueno…te veo ¡como la oreja de una vaca!#- ¿Cómo es eso?#- Lejos del sexo y cerquita de los cuernos."
226,"Ingredientes de la vida","Dos mujeres se encuentran por la calle:#- ¿Qué te pasa que estás tan seria?.#- Pues que he mandado a mi marido a por patatas para hacer la comida y le ha atropellado un coche. Ha muerto.#- Vaya... es horrible ¿Y ahora qué vas a hacer?.#- Pues no sé... macarrones."
227,"chino tirando a...","Como se llama un chino que se limpia el culo con la mano... cochino"
228,"Que feo era Albert","- Pues no veas Albert Einstein era muy listo pero también feo de narices.#- Para feo, feo su hermano Frank"
229,"Hoy es el gran día","Dos amigos:#Dice uno: Hoy follo.#Y contesta el otro: pues yo follo con fure de fatatas."
230,"Jaimito y la barbie","Le dice Jaimito a su padre:#- Papá! Quiero que me compres una barbie!!#- Pero hijo, tu eres un hombre, pide algo de acero!!#- Hay, pues entonces una planchita!!"
231,"Jaimito y el autobus","Jaimito entra en el autobús y pregunta:#- ¿Cuanto cuesta el bus?#- Pues es 1 euro.#Jaimito se pone en el medio del pasillo y grita:#-¡Bajen todos que me lo quedo!"
232,"Le declaro inocente","El juez le dice a la abogada defensora#-¿Cómo se declara su cliente?#-Es un inocente, señoría.#-Lo pilló la policía con las manos en la masa. ¿Por qué es un inocente?#-Por ponerse en mis manos, señoría."
233,"Quien tiene más dinero","- ...Pues para fortuna, la que hizo John Ford con los coches.#- ¡Qué va! Más pelas ha hecho su hermano Roque con los quesos!"
234,"Cocinera excepcional","Una pareja, que hace poco que viven juntos, a la hora de cenar le dice ella a él:#-¿Por qué nunca quieres que cocine para ti?#-Porqué no sé cómo cocinas.#-Cocino de muerte.#-¿Pides tú la pizza o la pido yo?"
235,"ciber elefantes","- ¿Por qué los elefantes no chatean?#- Porque les dan miedo los ratones"
236,"Usted es bizco","- Señor, usted es bizco#- No, lo que pasa es que tengo un ojo tan bonito, que el otro se le queda mirando"
237,"Una plaquita","En el médico:#- Vamos a tener que mandarle una plaquita#- ¿De torax Doctor?#- No, de mármol"
238,"Plato combinado","- Quería comer un plato único por favor#- ¿Un combinado?#- Venga! un ron con cola, ya me has liado, ya no tengo hambre"
239,"Tres chinos","Van tres chinos por la calle y le dice uno a otro:#-Yo, vivo con Melcedes y me puso una melcería.#-Yo, vivo con Lestituta y me puso un lestaulante.#Y dice el tercero:#-Yo, vivo con la mona.#-¿Y qué te puso?#-La casa llena de mielda."
240,"LA EXAGERADA","Después de hacer el amor, le dice la esposa al marido:#-Me has hecho la mujer más feliz del mundo.#-Exagerada.#-Bueno, de España.#-Exagerada.#-Vale, de la ciudad.#-Exagerada.#-Me pillaste. No lo pasé bien. ¿Echamos otro?¡¡Exagerada!!"
241,"LA TELEFONISTA","Un muchacho le dice a un amigo:#-Hay una chica de telefónica que siempre me llama en los momentos menos adecuados.#-Son unas pesadas. Mándala a tomar por culo.#-Ya la mandé. Le dije: Vete a tomar por culo que es bueno para la vista, pero me volvió a llamar.#-¿Y qué te dijo?#-Que ya fue a tomar por culo pero que la vista le seguía igual."
242,"EL OBSESIONADO","Un muchacho le dice a su psiquiatra:#-Hice lo que me dijo. Conté hasta treinta para no ver una película de despelote, y nada más acabar de contar, la puse. Creo que estoy obsesionado.#-No ha de ser la cosa para tanto. A ver, cuente hasta treinta.#-XXX."
243,"Como Einstein","-Pero Jaimito, ¿no te da vergüenza? A tu edad Einstein era el primero de la escuela –le dice su padre.#-Y a la tuya ya era Premio Nobel –responde Jaimito."
244,"Yo no lo hice!","Jaimito le pregunta a la maestra:#- Maestra, ¿usted me castigaría por algo que yo no hice?#- Claro que no, Jaimito.#- Ahh, pues que bueno, porque yo no hice mi tarea."
245,"Educación Sexual","- Mamá, cuando terminas de hacer el amor con papa, le das las gracias?, pregunta Jaimito.#- Pues... no, no siempre...#- ¿Entonces? ¿para qué sirve la educación sexual?"
246,"Ranas viajeras","¿Adónde van los renacuajos a convertirse en ranas?#A Croacia"
247,"La niña respondona","- Mamá, que hay de comer?#- Comida.#- Ok, ya me dieron el resultado del ultimo examen.#- Qué te sacaste?#- Nota."
248,"Talla L","- Oye, dile a tu hermana que no está gorda, que sólo es talla 'L' fante..."
249,"Mal maquillada","- Perdona, ¿estoy bien maquillada?#- No, todavía se te ve la cara."
250,"Las pulgas","Una pulga le dice a otra pulga#- ¿A donde se van las pulgas cuando se mueren?#- Al pulgatorio"
251,"Sabelotodo","- Odio a los listillos como tu#- Lo se"
252,"De pesca con papá","Una niña va a pescar con su padre y vuelve con la cara toda roja.#La madre, asustada, pregunta:#-Hija. ¿Que sucedió?#-Fue un mosquito muy grande...#- ¿ Y te picó?#-No tuvo tiempo, papá lo mató con el remo."
253,"Parnoico Maniaco","- Mamá, mamá cuál es la definición de paranoico?#- Aahh! piensas que no lo se y te quieres reír de mi verdad? claro, eso es verdad? responde!!"
254,"Chino encapuchado","- ¿Qué hace un chino con un capucha?#- Un capuchino."
255,"El hombre invisible","1er. Acto, el hombre invisible atrapa a un ladron.#2do. Acto, el hombre invisible atrapa a un asesino.#3er. Acto, el hombre invisible atrapa a un violador.#¿Como se llama la obra?#Justicia con transparencia"
256,"LA OVEJA NEGRA","Un hombre le dice al psiquiatra:#-Todos me dicen que soy la oveja negra de la familia y ahora tengo complejo de oveja.#-¿Bala?#-Bala perdida."
257,"Pene con voz de pito","-Hoy he soñado que mi pene hablaba.#-Ah si?#-Tenía voz de pito."
258,"El cabo","Un soldado le dice a su cabo:#- Señor, no cabo en la trinchera.#- No se dice 'cabo', se dice 'quepo', soldado#- Sí, mi quepo"
259,"Adelgazar","Dos amigas conversando:#-¿Sabes que María se ha desecho de 80 kilos de grasa inútil?#-¿Ah, sí? ¿Y cómo lo ha hecho?#-Se ha divorciado"
260,"Perderá el ojo","En el hospital de Lepe una madre le pregunta al médico:#-Doctor, ¿cree usted que mi hijo perderá el ojo?#El médico responde:#-Si lo pierde es porque le da la gana. Yo se lo he envuelto con un pañuelo."
261,"Pequeños descubrimientos","Un niño de 3 años se estaba mirando sus testículos mientras se bañaba.#- Mamá! - preguntó -, Este es mi cerebro?#- Todavía no"
262,"Cafeina confinada","- Como se le llama a un café que fue a la carcel???#- CAFE EXPRESO"
263,"Moscas","Le dice un hombre a su mujer :#- He matado a 4 moscas dos machos y dos hembras .#- ¿Y cómo sabías si eran chico o chica?#- Porque dos estaban en la cerveza y otras dos en el teléfono"
264,"Vino de la casa","en el restaurante:#-¿vino de la casa,señor?#-¿y a ti que te importa de donde vengo?"
265,"Entre peces","Un pescadito le pregunta a otro:#- Oye, ¿qué hace tu papá?#- Nada."
266,"Doctor me ignoran","-Doctor , doctor TODOS me ignoran...#- Siguiente..."
267,"Er Feibu no me va","Un gitano con el ordenador....#- ¿Ays qué pasa con el 'feisbu'? Me dise 'su clave es incorresta',#entonces pongo 'incorresta' pero ¡no abre!!!.."
268,"La muerte de Juana de Arco","La MARI JOSE pregunta a la MANOLA :#- ¿Sabes quién fue Juana de Arco?#Responde MANOLA ...#- Claro que lo sé, fue una drogadicta#- ¿Y tú de dónde sacaste eso?#- Pues del libro..... dice que murió por heroína."
269,"El secreto está en el jabón","¡¡¡Ya sé porque estoy engordando, es el Shampoo!!! Hoy me dí cuenta de que en el envase dice 'para dar cuerpo y volumen'; así que desde hoy empiezo a bañarme con jabon lavaplatos, que dice 'disuelve la grasa, hasta la más difícil'"
270,"Lavadora Lady Gaga","La PEPA dice a su amiga:#Muérete de envidia! Me regalaron una lavadora y creo que fue Lady Gaga#-¿Y cómo sabes?#-Pues porque la caja dice LG."
271,"el colmo eléctrico","- Cuál es el colmo de un electricista?#- Que su mujer se llame luz y sus hijos le sigan la corriente"
272,"Una tortilla Valiente","¿Que le dice una tortilla a un tenedor?#No me pinches que tengo mas huevos que tu"
273,"Buena persona","Era un hombre tan buena persona....#... Que no madrugaba para que Dios ayudara a otros"
274,"El tiempo","Un tío en un prostíbulo le pregunta a la 'madame':#- ¿Cuánto cuesta aquí acostarse con una mujer?#- Depende del tiempo.#- Bien... digamos que llueve..."
275,"Triste","- Estoy triste#- ¿Qué tienes?#- Tristeza"
276,"El vizco","- Señor, usted está vizco#- No, lo que pasa es que tengo un ojo tan bonito que el otro se lo queda mirando"
277,"Truco para engañanar a tu mujer","- Mi amor ¿Te apetece quedarte en la cama, ver películas y comer palomitas?#-¡Sí! ¡Que bien!#- Okhasta luego! Me voy de fiesta con mis amigos!"
278,"La pareja inseparable","Le decía una amiga a otra:#- Mi marido y yo somos inseparables.#- ¿Vais siempre juntos?.#- No, es que cuando nos peleamos se necesitan hasta 8 vecinos para poder separarnos."
279,"Beeeeeee","Que le dice una oveja a otra#-beeeeeeeee#-be tu que estas más cerca"
280,"3 tartamudos en la moto","Iban 3 tartamudos en una moto a alta velocidad, de repente el del medio empieza a decir 'JA JA JA..' y el que manejaba pregunta: 'PO-po-porque te-te ries ta-tanto?'- A lo que le responde, ' JA-JA-JAIME SE CAYO'"
281,"¿Cómo de sale del desierto con una naranja?","Mira, coges la naranja, la partes por la mitad, sale el jugo, el jugo es vitamina, le quitas la vita y coges la mina, la mina explota y causa un terremoto, le quitas el terre, coges la moto y te vas."
282,"Entre camellos y elefantes","Un elefante pregunta a un camello#-¿Por qué tienes las tetas en la espalda? -#-Extraña pregunta- contesta el camello ... -viniendo de alguien que tiene la polla en la cara"
283,"Hombres y Cervezas","- ¿En qué se parecen los hombres a las cervezas?...#- En que del cuello para arriba sólo tienen aire."
284,"Cómo está mi Sangre","Doctor, doctor, ¿que tal mis análisis de sangre? Pues no han ido del todo mal, hemos encontrado un poco de sangre en tu alcohol."
285,"Los efectos del alcohol en las manos","- Doctor, me tiemblan mucho las manos.#- ¿No será que bebe demasiado alcohol?#- Que va, si lo derramo casi todo!!"
286,"Felizmente...","- Cariño!!, hoy hacemos 20 años de casado, ¿por qué no matamos un pavo?#- ¿Y que culpa tiene el pavo? ¿por qué no matamos a tu hermano que fue el que nos presentó?"
287,"¡Mamá, mamá!","-¡Mamá, mamá!, en la escuela me dicen monstruo...#-No les hagas caso hijito, cierra tu ojito y vete a dormir."
288,"Monito","Un Monito le pregunta a su Mama:#- Mama, ¿Por que somos tan feos?#Y la mama le responde:#- Hay Hijo!, si supieras como es el que esta leyendo esto#:)"
289,"Burrofax","¿Cómo mandan un fax confidencial en Lepe?#- Pues, lo doblan antes de pasarlo por la máquina."
290,"Inteligencia heredada","Era una niña, saliendo del cole, apresurada llegó con su mamá, y le preguntó:#- ¡Mamá, mamá! Soy muy inteligente, ¿podrías decirme de quién heredé la inteligencia?#A lo que le respondió su mamá:#- Pues será de tu padre, porque yo aún conservo la mía."
291,"Métodos anticonceptivos","- Doctor, ¿qué puedo hacer para que este año mi mujer no se quede embarazada en vacaciones?#- Llévesela con usted"
292,"Mi prima Rosa","Esta una niña de 6 años y su madre en el comedor viendo la tele. Entonces la hija le pregunta:#-Mama, ¿porque mi prima se llama Rosa?#-Porque a tu tia le encantan las flores.#Al rato la niña le dice a la madre:#-Y mama, ¿a ti que es lo que mas te encanta?#-Anda Penelope no preguntes esas cosas."
293,"Chinos Pobres","Cuales son los chinos mas pobres#CHINLUZ CHINGAS CHINAGUA"
294,"¿Psiquiatra o Siquiatra?","Un paciente llama al consultorio de su psiquiatra y le pregunta a la secretaria:#- Señorita, ¿está el psiquiatra?#- No señor, el doctor no está y, además señor, para su conocimiento, le aclaro que no se dice 'psiquiatra', sino 'siquiatra' porque la 'p' no se pronuncia. ¿Quiere dejarle algún mensaje, señor?#- Sí. Dígale que lo llamó edro érez, el aciente al que no se le one dura la olla y or eso tiene roblemas con las utas."
295,"Burro muerto","Un burro muere frente a una iglesia. Una semana después el cuerpo seguía allí, el Padre se decidió llamar al jefe de policía.#- Sr. policía tengo un burro muerto hace una semana frente a la iglesia!#El policía, gran adversario político del padre contesta:#- Pero padre, ¿No es el Señor quien tiene la obligación de cuidar de los muertos?'#- ¡Asi es! Pero también es mi obligación de avisar a los parientes..."
296,"Echamos un...","¿Qué le dice la leche al colacao?#- ¿Echamos un polvo?"
297,"Mujeres del mal","-Señor cura, ¿aquí apartan las mujeres del mal?#-Si, hijo mío.#-Pues apárteme dos para el sábado por la noche."
298,"Qué me dirías","- ¿Si supieras que voy a morir mañana que me dirías hoy?#- ¿Me prestas 1000€ y mañana te los devuelvo?"
299,"El murciélago ensangrentado","Esto es un murciélago que va todo lleno de sangre y viene otro y le dice:#-Maaacho ¿dónde te has puesto así dónde te has dado ese banquete? y le dice#-Mira, ¿ves esa muralla de allí?, pues yo no la he visto."
300,"Mao ha muerto","-¿Sabes quién era Mao?#-Hombre pues claro#-Pues se ha muerto#-Qué putada, con la buena cerveza que hacía!!!"
301,"LAS NALGAS","¿Qué le dice una nalga a otra?#Entre nosotras algo huele mal"
302,"Caída tonta","Se abre el telón, y aparece un hombre subiendo escaleras, y en el último escalón se tropieza, se cierra el telón, como sé llama el actor ?#Sinvereste escalón"
303,"Practicas surf?","-Oye hijo ¿Praticas surf?#-No#-¿Y esa tabla?#- ¡Papa! Deja ya a mi novia en paz"
304,"Los sueños insatisfechos de los hombres","- Tener las amantes que tu esposa cree que tienes.#- Tener el dinero que tus hijos creen que tienes.#- Ser tan bueno en la cama como tú crees que eres, y#- Ser tan guapo como tu MAMÁ cree que eres."
305,"La vaca durmiente","- Qué esta haciendo una vaca con los ojos cerrados#- Leche concentrada"
306,"León marino","- ¡¡¡Pasen y vean al LEÓN MARINO!!!#- Paco, que es mi madre nadando en la piscina#- Ya llevo recaudados 500 €#- !!PASEN Y VEAN!! señoras y señores, ¡¡PASEN Y VEAN!!"
307,"Mi sostén","Una jovencita, de las que reservan,le dice a su novio:#-¡Eres mi vida! ¡Eres mi sostén!#-Ya quisiera yo, ya.#-¿Lo qué?#-Ser tu sostén."
308,"Vampiros de Lepe","- ¿Porque los vampiros de Lepe van en tractor?#- Para sembrar el panico"
309,"TOC TOC","Toc Toc...#- ¿Quién es?#- Abraham.#- NO, DIGAME PRIMERO SU NOMBRE Y LE ABRO#- ME LLAMO ABRAN#-DIGAME SU NOMBRE-NO NO LE ABRO ASTA QUE NO ME DIGA SU NOMBRE"
310,"Toro gallego","¿Cual es la diferencia de un toro vivo y un toro muerto? Que el toro vivo enviste y el toro muerto en bistek"
311,"Esposa o vecina","Esposo: Estare ha tu lado el resto de mi vida#Mujer: En serio?#Esposo: Si, me casare con la vecina"
312,"Procesar lento","Esto son 2 Leperos en un tren, y uno saca un cigarro y se pone a fumar,en esto que el amigo le pregunta:#-¿Tienes mas?#Despues de 20 minutos de pensar,el otro lepero dice:#-No,TENGO MENOS"
313,"La suegra me está matando","Un hombre, pálido, triste y escuálido, va al psiquiatra y le dice:#-Mi suegra me está matando. Sé que me voy a morir. ¿Tengo cura?#-Claro que sí,en cualquier iglesia encontrará uno."
314,"El test","- Mama, mama! Tengo dos noticias,una buena y una mala.#- Dime la buena primero.#- La buena es que e superado una prueba en positivo alto.#- ¿Y la mala?#- Pues...que era un test de embarazo..."
315,"salud!!, pero no me manches tomate","¿cómo estornuda un tomate?............ketchuuuppp !!!"
316,"Suegra resistente","Dos amigos se encuentran. Uno de ellos va con una pala al hombro y va sudando un monton y parece agotado.#- Pero Pepe, ¿qué te ha pasado?#- Jo, estoy hecho polvo, vengo de enterrar a mi suegra.#- ¿Pero te ha costado tanto, con lo fuerte que tu eres?#- Es que la muy asquerosa no se dejaba."
317,"El chino","Un chino se aprendió la palabra yo-yo,después fue a un restaurante y aprendió cuchillo y tenedor,y después fue a un partido de fútbol y aprendió ¡oeeeeeeeeeeeeeee,#oeoeoe!De repente apareció la policía y le preguntó al chino:#-¿Quien ha matado a mi mujer?.#-Yo-yo.#-¿Con qué?#-Cuchillo y tenedor.#-Va a ir usted a la cárcel.#-¡¡Oeeeeeeeeeeee oeoeoeoe!!"
318,"el 1 al 10","- ¿Qué le dijo el1 la 10?#- Para ser comoyo tienes que ser#sincero"
319,"la vaca y el cerdo","¿Qué animal es más sucio, el cerdo o la vaca?#La vaca, porque la vaca le pregunta al cerdo:#- ¿Cuánto hace que no te duchas?#El cerdo dice:#- ¡oik, oik, oik!#El cerdo se lo pregunta a ella y la vaca responde:#- Hace muuuuuuuuuuuuuuuuucho tiempo."
320,"Te veo mejor","-Cariño, te veo mejor!#-Pues estoy más gorda#-Pues eso, que te veo mejor..."
321,"Hablando mal sobre su mujer","- Hay Mari, no veas mi marido que poco tacto tiene. Esta mañana me ha llamado gorda.#- No te preocupes por eso mujer, a mi me dice cosas peores.#- Ah si? es que es malo con todo el mundo... ¿Y a ti que te ha dicho?#- Pues que hueles mal, que eres tonta, imbécil,...."
322,"Patos al agua","- ¿Qué pasa si tiras un pato al agua?#- Nada."
323,"Se abre el telón de la película","Se abre el telón y aparece un culo muy grande con un pelo, se cierra el telón#- ¿Como se llama la película?#- 'El peliculón'"
324,"Ballena en cautiverio","Era una señora tan gorda que greenpeace denunció al marido por tener a 'una ballena en cautiverio'."
325,"Según un intelectual","Según un intelectual: El pedo, es el suspiro del alma"
326,"Dinero para la suegra o la vida","Este era un hombre que estaba muy asustado.... y de pronto se encuentra con un amigo:#- ¿Qué te pasa porque estás tan asustado...?#- Es que a mi suegra está loca. Dijo que si no le conseguía mil euros se regaba en gasolina y se prendía fuego...#- ¡Joer!, - contestó el amigo - ¿Y cuánto has conseguido...?#El hombre le contesta...#- ¡Cinco litros y medio de gasolina...!"
327,"El Psicologo Y Los Tres Locos","Hay un psicologo y 3 locos enfrente de el. y para probar si se habian curado les pregunta:#psicologo -cuanto es 4+4#el 1er loco responde: caballo#el psicologo pasa al 2do loco y el responde: cebra#el 3er loco levanta la mano y grita 8!!#el psicologo pregunta como lo supo y el responde: Facil, dividi caballo por cebra y me dio 8"
328,"animales voladores","- ¿Cuál es el animal que vuela mas alto?#- El conejo#-¿El conejo? ¿Qué conejo?#- El de la azafata"
329,"Pinta el caballo","Entra un señor en un bar y pregunta enfadado:#- ¿Quien me ha pintado mi caballo de verde?#Sale un señor de 2,10 metros y dice:#- He sido yo#Y el señor le dice:#- Pues ves a darle la segunda capa que ya esta seco !!"
330,"Frio, frio","¿Qué es lo que más le duele a un niño pijo?#Que le den por cool"
331,"Lapa voladora","Un amigo le dice a otro:#-¿Cual es la lapa que vuela? LAPA loma ..."
332,"Muerto en inglés","- ¿Cómo se dice estoy muerto en Inglés?#- Memory."
333,"Ahola","Un español se encuentra a un chino y dice:#- ¡Hola!#Y el chino dice:#- Las 12:30."
334,"Doctor, soy asmático","- Doctor, soy asmático, ¿es grave?#- No amigo, es esdrújula."
335,"Aparejadores del mundo","- Cual es tu oficio?#- Soy Aparejador.#- Pues a ver si me buscas una amiguita, que estoy muy solo.#- ¿Eh?"
