"word";"N";"list_sugerence_first";"list_sugerence_all"
"dela";"1";"dela";"dela,leda,dale,del,delia,denla,delas,delta,duela,debla,delga,dala,dele,delo,dila"
"delante";"3";"delante";"delante,delate,adelante,delaten,decante,del ante,del-ante"
"delito";"1";"delito";"delito,deliro,delio,deleito,delitos,delato,melito,de lito,de-lito"
"demás";"1";"femás";"femás,además,dezmás,remás,demos,domás,dejás,desyemás"
"demasiado";"4";"demasiado";"demasiado,demasiados,demasiada"
"deme";"2";"deme";"deme,feme,eme,ademe,denme,dezme,dame,reme,dome,dime,dese,teme,dele,leme,debe"
"déme";"2";"deme";"deme,dame,dome,dime"
"demorado";"1";"demorado";"demorado,demorad,demorando,demorados,demorada,decorado,memorado,devorado,de morado,de-morado,demora do,demora-do,demorad o"
"demostrar";"1";"demostrar";"demostrar,demostrara,demostrare,demonstrar,demostrará,demostraré,demostrad,de mostrar,de-mostrar"
"demuestra";"1";"demuestra";"demuestra,demuestran,demuestras,demuestre,demuestro,de muestra,de-muestra"
"den";"1";"den";"den,sen,de,en,dan,don,din,nen,des,ten,del,len,ben,gen,ven"
"dentadura";"1";"dentadura";"dentadura,dentaduras,tentadura"
"dentista";"1";"dentista";"dentista,dentistas,rentista"
"dentro";"5";"dentro";"dentro,entro,adentro,centro,dextro,d entro"
"denunció";"1";"denuncio";"denuncio,denunció,enunció,denuncia,denuncie,renunció,desunció,denunciá,denuncié,d enunció,den unció,den-unció"
"departamento";"1";"departamento";"departamento,departamentos"
"depende";"1";"depende";"depende,dependé,depender,dependen,dependes,depended,dependa,dependo,dependí,de pende,de-pende"
"dependiente";"1";"dependiente";"dependiente,dependientes,dependienta,de pendiente,de-pendiente"
"depilado";"1";"depilado";"depilado,depilad,depilando,depilados,depilada,de pilado,de-pilado,depila do,depila-do,depilad o"
"deporte";"1";"deporte";"deporte,deporté,deporten,deportes,deporta,departe,reporte,deporto,deportó,deportá,de porte,de-porte"
"depósitos";"1";"depÃ³sitos";"depÃ³sitos,deposites,deposite"
"depre";"3";"depare";"depare,depure,de pre,de-pre,deprede,depreda,depreco,depreca"
"depredador";"1";"depredador";"depredador,depredado,depredadora,depredados,de predador,de-predador"
"deprimida";"4";"deprimida";"deprimida,deprimid,deprimidas,reprimida,deprimido,deprimid a"
"deprisa";"3";"deprisa";"deprisa,deprima,de prisa,de-prisa"
"derecha";"2";"derecha";"derecha,derechas,derecho,desecha"
"derecho";"1";"derecho";"derecho,derechos,derecha,desecho"
"derramo";"1";"derramo";"derramo,derramó,derrama,derrame,desramo,derrapo,derrabo,derramá,derramé"
"derramó";"1";"derramo";"derramo,derramó,derrama,derrame,desramó,derrapó,derrabó,derramá,derramé"
"des";"1";"des";"des,sed,ses,fes,de,es,dese,deis,das,aes,res,dos,den,ces,tes"
"desaparece";"2";"desaparece";"desaparece,desaparecé,desaparee,desparece,desaparecer,desaparecen,desapareces,desapareced,desaparecí,desapareje,des aparece,des-aparece"
"desaparecen";"2";"desaparecen";"desaparecen,desaparece,desapareen,desparecen,desaparecer,desapareces,desapareced,desaparejen,des aparecen,des-aparecen"
"desapareces";"1";"desapareces";"desapareces,desaparecés,desapareced,desaparece,desaparees,despareces,desaparecer,desaparecen,desaparejes,des apareces,des-apareces"
"desayunan";"1";"desayunan";"desayunan,desayuna,desayunen,desayunar,desayunas,desayunad,desayudan,des ayunan,des-ayunan"
"desayuno";"1";"desayuno";"desayuno,desayunó,desayunos,desayuna,desayune,desayudo,desayuná,desayuné,des ayuno,des-ayuno"
"descafeinado";"1";"descafeinado";"descafeinado,descafeinad,descafeinando,descafeinados,descafeinada,descafeinad o"
"descansa";"1";"descansa";"descansa,descansá,descasa,descansar,descansan,descansas,descansad,descasan,descanse,descanso,descanta,descansó,descansé,des cansa,des-cansa"
"descansamos";"1";"descansamos";"descansamos,descasamos,descansemos,descantamos,descansados,des cansamos,des-cansamos"
"descaradamente";"1";"descaradamente";"descaradamente,descarada mente,descarada-mente"
"descontar";"1";"descontar";"descontar,descotar,descontara,descontare,descontará,descontaré,descantar,descontad,desmontar,des contar,des-contar"
"descubierto";"2";"descubierto";"descubierto,descubiertos,descubierta,des cubierto,des-cubierto"
"descubre";"1";"descubre";"descubre,descubren,descubres,descubra,descuere,descubro,descubrí,des cubre,des-cubre"
"descubrió";"1";"descubrió";"descubrió,descubrir,descubrid,des cubrió,des-cubrió"
"desde";"5";"desde";"desde,dese,desude,desee,des de,des-de"
"desea";"3";"desea";"desea,deseá,sedea,sesea,deses,dese,desear,desean,deseas,deseca,desead,despea,desee,deseo,desga"
"deseaba";"1";"deseaba";"deseaba,sedeaba,seseaba,desraba,deseaban,deseabas,desecaba,despeaba,deseara,deseada,desdaba,desbaba"
"deseado";"1";"deseado";"deseado,sedeado,seseado,desead,deseador,deseando,deseados,desecado,despeado,deseada,desdado,desea do,desea-do,desead o"
"desean";"1";"desean";"desean,sedean,sesean,desea,desecan,despean,deseen,desear,deseas,desead,de sean,de-sean"
"deseas";"1";"deseas";"deseas,deseás,sedeas,seseas,desead,desea,deses,desease,desecas,despeas,desase,desees,desear,deseos,desean"
"desecho";"1";"desecho";"desecho,desechó,deseco,desechos,destecho,despecho,desfecho,deshecho,desecha,deseche,derecho,desechá,deseché,des echo,des-echo"
"deseo";"2";"deseo";"deseo,deseó,sedeo,seseo,dese,deseos,deseco,despeo,desea,desee,deses,deseá,deseé,de seo,de-seo"
"desesperación";"1";"desesperación";"desesperación"
"desesperada";"1";"desesperada";"desesperada,desesperad,desesperadas,desesperara,desesperado,desesterada,desesperaba,des esperada,des-esperada,desespera da,desespera-da,desesperad a"
"desesperadamente";"1";"desesperadamente";"desesperadamente,desesperada mente,desesperada-mente"
"desgarradora";"1";"desgarradora";"desgarradora,desgarrador,desgarradoras,desgarradura,desgarra dora,desgarra-dora,desgarrad ora,desgarrad-ora,desgarrador a"
"desierta";"1";"desierta";"desierta,deserta,desiertas,despierta,desierto"
"desierto";"1";"desierto";"desierto,deserto,desiertos,despierto,desierta"
"despatarrada";"1";"despatarrada";"despatarrada,despatarrad,espatarrada,despatarradas,despatarrara,despatarrado,despatarraba,d espatarrada,despatarra da,despatarra-da,despatarrad a"
"despelote";"1";"despelote";"despelote,despeloté,espelote,despeloten,despelotes,despelota,despeloto,despelotó,despelotá,d espelote,des pelote,des-pelote"
"despertar";"1";"despertar";"despertar,desperar,desertar,despertara,despertare,despertará,despertaré,dispertar,despernar,despertad"
"despertarás";"1";"despertaras";"despertaras,despertarás,despertará,desertarás,despertares,despertarán,despernarás"
"despierta";"2";"despierta";"despierta,desierta,despiertan,despiertas,despierte,despierto,despierna"
"despiértate";"1";"despiertamente";"despiertamente"
"despierto";"1";"despierto";"despierto,desierto,despiertos,despierta,despierte,despierno"
"despues";"1";"despumes";"despumes,despees,des pues,des-pues,despulpes,despulpe,despuÃ©s"
"después";"17";"despulpes";"despulpes"
"detecto";"1";"detecto";"detecto,detectó,detector,detecta,detecte,detento,detesto,defecto,detectá,detecté"
"detrás";"3";"detraerás";"detraerás"
"deusto";"1";"degusto";"degusto,denuesto"
"devolverles";"1";"devolver les";"devolver les,devolver-les,envolverles,devolver,desvolver,desvolvedores"
"devolvió";"1";"devolvió";"devolvió,desvolvió,revolvió,de volvió,de-volvió"
"devotas";"1";"devotas";"devotas,devoras,devota,revotas,devotos,denotas,de votas,de-votas"
"devuelvo";"1";"devuelvo";"devuelvo,desvuelvo,devuelva,devuelve,revuelvo,devuelto,de vuelvo,de-vuelvo"
"di";"2";"di";"di,id,si,do,d,dio,din,da,de,ni,ti,mi,pi,vi,ji"
"dí";"1";"di";"di,d,da,de,do"
"dia";"2";"ida";"ida,di,da,odia,dina,dita,dial,dila,dima,diga,diva,ria,dio,din,di a"
"día";"21";"sía";"sía,fía,da,adía,lía,pía"
"dialogar";"1";"dialogar";"dialogar,dialoga,dialogara,dialogare,dialogará,dialogaré,dialogan,dialogas,dialogal,dialogad,di alogar,di-alogar"
"diarrea";"1";"diarrea";"diarrea,diarreas,diaprea,di arrea,di-arrea"
"días";"8";"sías";"sías,fías,das,adías,lías,pías"
"diaz";"5";"diez";"diez,dial,diazoa"
"díaz";"1";"azada";"azada"
"dice";"207";"dice";"dice,fice,doce,ice,dicen,dices,dicte,rice,dile,dime,hice,dije,d ice,di ce,di-ce"
"dicen";"8";"dicen";"dicen,ficen,dice,icen,dicten,ricen,dices,dimen,d icen"
"dices";"3";"dices";"dices,cides,fices,duces,doces,dice,ices,dieces,dictes,rices,dicen,diles,dimes,mices,dijes"
"dicho";"16";"dicho";"dicho,ficho,ducho,icho,dichos,dicha,nicho,dicto,micho,bicho,d icho,di cho,di-cho"
"diciendo";"1";"diciendo";"diciendo,dimiendo"
"diciéndole";"1";"diciéndose";"diciéndose,iniciÃ¡ndole"
"diente";"1";"diente";"diente,tiende,siente,diete,dente,dienten,dientes,dicente,dieten,dienta,diento,tiente,miente,viente,di ente"
"dientes";"9";"dientes";"dientes,tiendes,sientes,diente,dietes,dentes,dicentes,dientas,dienten,tientes,mientes,vientes,di entes,di-entes"
"dieron";"1";"dieron";"dieron,dijeron,dinero,dieran,dieren,rieron,vieron"
"dieta";"3";"dieta";"dieta,dietá,diera,dita,adieta,dietar,dietan,dienta,dietas,dietad,edita,diete,dieto,nieta,dista"
"diez";"2";"diez";"diez"
"diferencia";"9";"diferencia";"diferencia,diferenciá,diferenciar,diferencian,diferencias,diferencial,diferenciad,diferencie,deferencia,diferencio,diferenció,diferencié"
"diferencian";"2";"diferencian";"diferencian,diferencia,diferencien,diferenciar,diferencias,diferencial,diferenciad"
"difícil";"3";"difÃ­cil";"difÃ­cil"
"dificilísimo";"1";"dificultoso";"dificultoso"
"diga";"6";"diga";"diga,siga,doga,digan,digna,digas,daga,digo,dina,dita,dila,liga,dima,miga,biga"
"dígale";"1";"galega";"galega"
"digame";"2";"difame";"difame,diga me,diga-me,digamma,mendiga"
"dígame";"7";"amalgame";"amalgame"
"digamos";"1";"digamos";"digamos,migados,sigamos,dignamos,dinamos,ligamos,dimamos,migamos,di gamos,di-gamos"
"digas";"1";"digas";"digas,sigas,dogas,diga,dignas,dagas,digan,dinas,ditas,dilas,ligas,dimas,migas,bigas,gigas"
"digo";"2";"digo";"digo,sigo,figo,dogo,dio,diego,digno,diga,dino,dilo,ligo,dimo,migo,divo,higo"
"dije";"1";"dije";"dije,fije,dijes,deje,dijo,dice,dile,lije,dime,di je,di-je"
"dijeron";"3";"dijeron";"dijeron,dieron,dijeran,dijeren,dije ron,dije-ron"
"dijiste";"1";"dijiste";"dijiste,dimiste"
"dijo";"17";"dijo";"dijo,fijo,dujo,dio,dije,dejo,rijo,dino,dilo,lijo,dimo,mijo,pijo,digo,divo"
"dile";"6";"dile";"dile,file,diles,edil,dila,dale,dele,rile,dilo,dice,dime,pile,hile,dije,di le"
"dime";"12";"dime";"dime,mide,dome,dimen,dimes,dima,dame,deme,rime,dimo,dice,time,dile,lime,mime"
"dimelo";"1";"dime lo";"dime lo,dime-lo,dimidlo"
"diminuto";"1";"diminuto";"diminuto,diminutos,diminuta,di minuto,di-minuto"
"dinamarca";"2";"Dinamarca";"Dinamarca,dina marca,dina-marca,incardinara,incardinar,incardina,dictaminar"
"dinero";"7";"dinero";"dinero,adinero,dineros,dieron,ditero,linero,minero,din ero,din-ero"
"dinosaurio";"4";"dinosaurio";"dinosaurio,dinosaurios,dino saurio,dino-saurio"
"dio";"1";"dio";"dio,ido,di,do,odio,dino,dios,dilo,dimo,digo,divo,dijo,din,mio,vio"
"dios";"8";"dios";"dios,idos,dio,dos,diosa,dioso,odios,dinos,dilos,dimos,divos,daos,di os,di-os"
"diputado";"2";"diputado";"diputado,diputad,diputador,diputando,diputados,disputado,diputada,diputa do,diputa-do,diputad o"
"diputados";"1";"diputados";"diputados,diputado,disputados,diputadas,diputador,diputamos,diputa dos,diputa-dos,diputad os,diputad-os"
"dirá";"1";"durá";"durá,dorá,airá,tirá,mirá,pirá,girá,virá,urdirá"
"dirección";"1";"direcciÃ³n";"direcciÃ³n"
"directora";"1";"directora";"directora,director,directoria,directoras,disectora,di rectora,di-rectora,director a"
"diría";"1";"dimía";"dimía,dimiría,dividiría,disidiría,dirigiría"
"dirías";"1";"dimías";"dimías,disidirías,dividirías,dirigirías,dirimirías"
"dirige";"2";"dirige";"dirige,dirigen,diriges,dirime,dirigí,di rige,di-rige"
"discoteca";"1";"discoteca";"discoteca,discotecas,disco teca,disco-teca"
"disculpame";"1";"disculpare";"disculpare,disculpase,disculpa me,disculpa-me,disculpable,disculpa,disculpe"
"disculpe";"5";"disculpe";"disculpe,disculpé,disculpen,disculpes,disculpa,disculpo,disculpó,disculpá"
"discusión";"1";"discusión";"discusión"
"discuten";"1";"discuten";"discuten,discute,discutan,discutes,disputen"
"discutir";"1";"discutir";"discutir,discutirá,discutiré,discutid,discutió"
"discuto";"1";"discuto";"discuto,discuta,discute,disputo,discutí"
"dise";"1";"sise";"sise,diese,diste,deis,dese,dice,dile,dime,mise,pise,bise,vise,dije,di se,di-se"
"disen";"1";"sisen";"sisen,diesen,disten,dicen,dimen,misen,pisen,bisen,visen,di sen,di-sen,disenso,disiden,dispense,disipen"
"disparar";"1";"disparar";"disparar,dispara,disparara,disparare,disparará,dispararé,desparar,disparan,disparas,disparad,dispar,dispar ar,dispar-ar"
"disparó";"1";"disparo";"disparo,disparó,dispar,dispara,dispare,dispará,disparé"
"distancia";"1";"distancia";"distancia,distanciá,distanciar,distancian,distancias,distanciad,distancie,distancio,distanció,distancié"
"distraído";"2";"distraído";"distraído,distraídos,distraída"
"disuelve";"1";"disuelve";"disuelve,disuelven,disuelves,disuelva,disuelvo"
"diversos";"1";"diversos";"diversos,diverso,diversas,di versos,di-versos"
"dividi";"1";"dividí";"dividí,divido,dividir,dividid,dividió,divida,divide"
"divorciado";"1";"divorciado";"divorciado,divorciad,divorciando,divorciados,divorciada,divorcia do,divorcia-do,divorciad o"
"divorciar";"1";"divorciar";"divorciar,divorcia,divorciara,divorciare,divorciará,divorciaré,divorcian,divorcias,divorciad"
"divorciarse";"1";"divorciarse";"divorciarse,divorciares,divorciare,divorciase,divorciar se,divorciar-se"
"divorcio";"1";"divorcio";"divorcio,divorció,divorcios,divorcia,divorcie,divorciá,divorcié"
"dj";"1";"d";"d,da,aj,de,ej,do,di"
"do";"3";"do";"do,so,fo,di,d,o,dio,ido,don,dos,dom,doy,da,de,ro"
"doblada";"1";"doblada";"doblada,doblad,dolada,oblada,dobladas,doblara,roblada,doblado,poblada,doblaba,d oblada,dobla da,dobla-da,doblad a"
"doblan";"1";"doblan";"doblan,dobla,doblen,doblar,roblan,doblas,doblad"
"doblando";"1";"doblando";"doblando,doblado,dolando,roblando,poblando,do blando,do-blando,doblan do,doblan-do"
"doblar";"1";"doblar";"doblar,dobla,dolar,doblara,doblare,doblará,doblaré,roblar,doblan,doblas,doblad,moblar,poblar"
"doble";"1";"doble";"doble,doblé,doblen,dobles,doblez,dobla,dable,roble,doblo,noble,dobló,doblá,do ble,do-ble"
"doce";"1";"doce";"doce,dice,doces,doca,dore,roce,done,dote,toce,dome,dope,goce,hoce,do ce,do-ce"
"docena";"1";"docena";"docena,noceda,ocena,adocena,docenas,docenal,decena,eocena,doceno,doceta,d ocena,do cena,do-cena,doce na,doce-na"
"docenas";"1";"docenas";"docenas,nocedas,docena,ocenas,adocenas,decenas,eocenas,docenos,docetas,docenal,d ocenas,do cenas,do-cenas"
"doctor";"47";"doctor";"doctor,docto,doctora,doctore,doctoro,doctoró,doctorá,doctoré,doctos,ductor"
"documentos";"1";"documentos";"documentos,documento,documentas,documentes,documentás"
"doliendo";"2";"doliendo";"doliendo,soliendo,oliendo,moliendo,d oliendo"
"domingo";"1";"domingo";"domingo,domino,domingos,dominio,do mingo,do-mingo"
"don";"1";"don";"don,son,fon,din,dom,do,dona,done,dono,donó,doná,doné,dan,den,ron"
"donald";"1";"donad";"donad,McDonald,baldona,hondonal,donando"
"donde";"15";"donde";"donde,sonde,done,onde,adonde,ronde,conde,monde,d onde,don de,don-de"
"dónde";"10";"donde";"donde"
"dormía";"1";"dormía";"dormía,mordía,dormís,dormí,adormía,dormían,dormías,dormí a"
"dormías";"1";"dormías";"dormías,mordías,dormía,dormís,adormías,dormíais,dormían,dormí as,dormí-as"
"dormido";"3";"dormido";"dormido,mordido,dormid,adormido,dormidor,dormidos,dormida,dormito,dormid o"
"dormiendo";"1";"mordiendo";"mordiendo,durmiendo,dormiente,dormitando,dormiten,remiendo"
"dormir";"5";"dormir";"dormir,adormir,dormirá,dormiré,dormid"
"dormitorio";"1";"dormitorio";"dormitorio,dormitorios"
"dos";"108";"dos";"dos,do,os,daos,dios,idos,das,des,ros,don,nos,tos,los,dom,pos"
"doy";"1";"doy";"doy,soy,do,don,dos,coy,dom,voy,hoy,do y"
"dr";"1";"de";"de,d,dar,da,ar,do,di,ir,gr"
"droga";"2";"droga";"droga,drogá,drago,froga,doga,deroga,drogar,drogan,drogas,drogad,rogad,draga,eroga,drogo,drogó"
"drogadicta";"2";"drogadicta";"drogadicta,drogadictas,drogadicto,droga dicta,droga-dicta"
"drogaditos";"1";"drogadictos";"drogadictos,drogadicto,drogaros"
"drogas";"2";"drogas";"drogas,drogás,dragos,frogas,drogad,droga,dogas,drogase,derogas,dragas,erogas,drogar,drogan"
"ds";"1";"da";"da,d,das,des,dos,as,de,es,do,os,di,is,ns,DVDs"
"ducha";"2";"ducha";"ducha,duchá,dicha,duchar,duchan,duchas,duchad,duche,rucha,ducho,cucha,lucha,mucha,hucha,duchó"
"ducharte";"1";"duchare";"duchare,ducharse,duchaste,duchar te,duchar-te,duchar,educarte,echarte"
"duchas";"1";"duchas";"duchas,duchás,dichas,duchad,ducha,duchase,duches,duchar,ruchas,duchos,duchan,cuchas,luchas,muchas,huchas"
"duda";"1";"duda";"duda,dudá,suda,deuda,dudar,dudan,dudas,dudad,dada,dude,dura,ruda,dudo,duna,tuda"
"dudar";"1";"dudar";"dudar,durad,sudar,duda,dudara,dudare,dudará,dudaré,durar,dudan,dudas,dular,dudad,mudar"
"duele";"5";"duele";"duele,suele,dele,duelen,dueles,duela,duelo,cuele,muele,vuele,huele"
"dueño";"2";"dueto";"dueto,duelo"
"duerme";"1";"duerme";"duerme,muerde,aduerme,duermen,duermes,duerma,duermo"
"duermes";"2";"duermes";"duermes,muerdes,duerme,aduermes,duermas,duermen,quermes"
"duquesa";"1";"duquesa";"duquesa,duques,duquesas,duques a"
"dura";"5";"dura";"dura,durá,ruda,fura,durar,duran,duras,durad,urda,aura,dure,duro,dora,duna,cura"
"durante";"3";"durante";"durante,duraste,duran te,duran-te"
"durmiendo";"2";"durmiendo";"durmiendo,adurmiendo"
"durmiente";"1";"durmiente";"durmiente,durmientes,dormiente"
"e";"6";"ea";"ea,re,en,ne,es,se,ce,et,te,el,le,de,me,pe,be"
"echa";"2";"echa";"echa,echá,cha,echar,echan,echas,techa,echad,mecha,pecha,fecha,hecha,eche,echo,ecua"
"echamos";"3";"echamos";"echamos,echaos,techamos,mechamos,pechamos,fechamos,echemos,echaros,echados"
"echan";"1";"echan";"echan,echa,techan,mechan,pechan,fechan,echen,echar,echas,echad"
"echar";"2";"echar";"echar,echa,echara,echare,techar,lechar,mechar,pechar,fechar,echará,echaré,echan,echas,echad"
"echarle";"1";"echarle";"echarle,echare,charle,echarles,echarse,echarte,echadle,echarme,e charle,echar le,echar-le"
"echas";"1";"echas";"echas,echás,echad,echa,chas,echase,echaos,techas,mechas,pechas,fechas,hechas,eches,echar,echos"
"echo";"3";"echo";"echo,echó,eco,cho,echos,techo,lecho,mecho,pecho,fecho,hecho,echa,eche,ocho,icho"
"eclipse";"1";"eclipse";"eclipse,eclipsé,elipse,eclipsen,eclipses,eclipsa,eclipso,eclipsó,eclipsá"
"eco";"1";"eco";"eco,evo,ecos,seco,ecuo,meco,peco,beco,echo,ero,eso,ego"
"economistas";"1";"economistas";"economistas,economista"
"edad";"7";"edad";"edad,dad,edrad,redad,sedad,vedad,jedad,erad,e dad"
"edificio";"1";"edificio";"edificio,edifico,edificios,edilicio"
"edro";"1";"edro";"edro,edró,odre,ero,redro,cedro,medro,pedro,redo,edra,adro,edre,erro,euro,edrá"
"educación";"2";"deducción";"deducción,seducción,reducción"
"eeeeee";"1";NA;NA
"eh";"6";"eh";"eh,he,ej,e,ea,ah,oh,en,es,ch,et,el,uh,ex"
"ehm";"1";"eh";"eh,ohm"
"ei";"1";"e";"e,ea,en,ni,es,si,et,ti,el,di,mi,pi,vi,eh,ej"
"einstein";"2";"insistente";"insistente,vinisteis,peinaste,instante"
"ejecución";"1";"ejecuciÃ³n";"ejecuciÃ³n"
"ejecutarlo";"1";"ejecutar lo";"ejecutar lo,ejecutar-lo,ejecutar,ejecutoriar"
"ejemplo";"1";"ejemplo";"ejemplo,ejempló,ejemplos,ejempla,ejemple,ejemplá,ejemplé"
"ejercicio";"1";"ejercicio";"ejercicio,ejercicios"
"el";"578";"el";"el,le,e,ele,sel,del,bel,gel,ea,al,en,es,et,eh,ej"
"él";"13";"el";"el,al"
"el1";"1";"el";"el,ele"
"ela";"1";"lea";"lea,ale,el,ea,la,cela,tela,ella,lela,dela,mela,pela,vela,ala,ele"
"elecciones";"2";"lecciones";"lecciones,selecciones,alecciones,e lecciones,seleccione,seleccionares,selecciono,elecciÃ³nes"
"elecrtic";"1";"electrice";"electrice"
"electricidad";"1";"electricidad";"electricidad"
"electricista";"5";"electricista";"electricista,electricistas"
"electrocutando";"1";"electrocutando";"electrocutando,electrocutado,electrocutan do,electrocutan-do"
"electrucado";"1";"electrocutado";"electrocutado,electrificado,electrizado,electrolizado"
"elefanta";"1";"elefanta";"elefanta,elefantas,elefante"
"elefante";"5";"elefante";"elefante,elegante,elefantes,elefanta"
"elefantes";"1";"elefantes";"elefantes,elegantes,elefante,elefantas"
"elegido";"1";"elegido";"elegido,elegid,elegidos,elegida,elegid o"
"elegir";"1";"elegir";"elegir,elegirá,elegiré,eligir,elegid"
"elengendro";"1";"el engendro";"el engendro,el-engendro,reengendro,engendro,engendrable,engendre"
"elevador";"2";"elevador";"elevador,elevado,levador,elevadora,elevados,llevador,e levador"
"élfico";"1";"alficoz";"alficoz"
"ella";"15";"ella";"ella,lela,leal,ellas,sella,cella,mella,pella,bella,elle,ello,olla,el la,el-la"
"ellas";"1";"ellas";"ellas,lelas,ella,sellas,cellas,mellas,pellas,bellas,sella,elles,ellos,ollas,el las,el-las"
"ellos";"1";"ellos";"ellos,lelos,ello,sellos,pellos,bellos,vellos,sello,ellas,elles,elfos,el los,el-los"
"ema";"1";"mea";"mea,ame,ea,rema,nema,tema,lema,mema,gema,fema,yema,ama,eme,era,esa"
"embarazada";"4";"embarazada";"embarazada,embarazad,embrazada,embarazadas,embarazara,embarazado,embarazaba,embaraza da,embaraza-da,embarazad a"
"embarazo";"3";"embarazo";"embarazo,embarazó,embrazo,embarazos,embaraza,embarazá"
"embargo";"1";"embargo";"embargo,embargó,embrago,embargos,embarga,embarro,embarco,embardo,embargá"
"emocionado";"1";"emocionado";"emocionado,emocionad,emocionando,emocionados,emocionada,emociona do,emociona-do,emocionad o"
"empatados";"1";"empatados";"empatados,empatado,empastados,empastado,empatadas,empataros,empanados,empacados,empalados,empatamos,empapados,empajados,empata dos,empata-dos,empatad os"
"empecé";"1";"empece";"empece,empecé,empocé,empelé"
"empezar";"2";"empezar";"empezar,empezara,empezare,empezará,empezaré,empozar,empelar,empezad,empegar"
"empezaste";"1";"empezaste";"empezaste,empezase,empozaste,empelaste,empegaste"
"empiece";"3";"empiece";"empiece,empece,empiecen,empieces"
"empieza";"5";"empieza";"empieza,empiezan,empiezas,empiezo,empiema"
"empiezan";"2";"empiezan";"empiezan,empieza,empiezas"
"empiezo";"2";"empiezo";"empiezo,empieza"
"empleado";"6";"empleado";"empleado,empelado,emplead,empleador,empleando,empleados,empleada,emplea do,emplea-do,emplead o"
"empleados";"4";"empleados";"empleados,empelados,empleado,empleadas,empleador,empleamos,emplea dos,emplea-dos,emplead os,emplead-os"
"empresa";"2";"empresa";"empresa,emprase,empres,empresas,empresta,impresa,expresa,empres a"
"empresario";"4";"empresario";"empresario,empresarios,empresaria,empres ario,empres-ario"
"empuja";"2";"empuja";"empuja,empujá,empujar,rempuja,empujan,empujas,empujad,empaja,empuje,empujo,empujó,empujé"
"empujaron";"1";"empujaron";"empujaron,rempujaron,empujaran,empajaron,empujaren,empujarán,empuja ron,empuja-ron"
"en";"365";"en";"en,ne,e,ene,nen,sen,ten,len,den,ben,gen,ven,zen,yen,ea"
"en6";"1";"en";"en,ene"
"enamorado";"2";"enamorado";"enamorado,enamorad,namorado,enamorador,enamorando,enamorados,enamorada,e namorado,enamora do,enamora-do,enamorad o"
"enamore";"1";"enamore";"enamore,enamoré,namore,enamoren,enamores,enamora,enamoro,enamoró,enamorá,e namore"
"enano";"1";"enano";"enano,emano,enanos,encano,enanzo,naneo,enana,etano,en ano,en-ano"
"encanta";"2";"encanta";"encanta,encantá,encana,encantar,encantan,encantas,encantad,encanuta,encante,encenta,encarta,encanto,encinta,encasta,enmanta"
"encantadamente";"1";"encantada mente";"encantada mente,encantada-mente,encantadoramente,encandiladamente,encarnizadamente,contentadamente"
"encantan";"3";"encantan";"encantan,encanta,encanan,encanutan,encanten,encentan,encantar,encartan,encintan,encantas,encastan,encantad,enmantan,en cantan,en-cantan"
"encargado";"1";"encargado";"encargado,encargad,encarado,encargando,encargados,encargada,encarnado,encartado,en cargado,en-cargado,encarga do,encarga-do,encargad o"
"encerró";"1";"encerró";"encerró,enceró,enterró,encerrá,encerré,en cerró,en-cerró"
"enciende";"1";"enciende";"enciende,encienden,enciendes,encienda,enciendo,entiende,enmiende"
"encima";"4";"encima";"encima,encimá,encina,encimar,enciman,encimas,encisma,encimad,encama,encime,encimo,enzima,encimó,encimé,en cima"
"encontrado";"2";"encontrado";"encontrado,encontrad,rencontrado,encontrando,encontrados,encontrada,encentrado,encostrado,encontrad o"
"encontrar";"5";"encontrar";"encontrar,encontrara,encontrare,rencontrar,encontrará,encontraré,encentrar,encostrar,encontrad"
"encontrará";"1";"encontrara";"encontrara,encontrará,encontrar,rencontrará,encontrarán,encontrarás,encontrare,encentrará,encostrará,encontraré"
"encontré";"1";"encontré";"encontré,rencontré,enconaré,encentré,encostré,encontró,encontrá"
"encontro";"1";"encontró";"encontró,encentro,encostro,encontrá,encontré"
"encuentra";"15";"encuentra";"encuentra,encentra,rencuentra,encuentran,encuentras,encuentre,encuentro"
"encuentran";"15";"encuentran";"encuentran,encuentra,encentran,rencuentran,encuentren,encuentras"
"encuentre";"1";"encuentre";"encuentre,encentre,rencuentre,encuentren,encuentres,encuentra,encuentro"
"encuentro";"1";"encuentro";"encuentro,encentro,rencuentro,encuentros,encuentra,encuentre"
"enemigos";"1";"enemigos";"enemigos,enemigo,enemigas"
"enero";"1";"enero";"enero,ensero,encero,cenero,entero,enebro,genero,enervo,envero,venero,enjero,entro,enejo,en ero,en-ero"
"enfadado";"2";"enfadado";"enfadado,enfadad,enfardado,enfadando,enfadados,enfaldado,enfadada,encadado,enfajado,enfado,enfada do,enfada-do,enfadad o"
"enferma";"1";"enferma";"enferma,enfermá,enfermar,enferman,enfermas,enfermad,enferme,enfermo,enfermó,enfermé"
"enfermedad";"1";"enfermedad";"enfermedad,enferme dad,enferme-dad"
"enfermera";"2";"enfermera";"enfermera,enfermare,enfermeras,enfermería,enfermara,enfermero"
"enfermeras";"1";"enfermeras";"enfermeras,enfermares,enfermera,enfermerías,enfermaras,enfermeros,enferme ras,enferme-ras"
"enfermo";"1";"enfermo";"enfermo,enfermó,enfermos,enferma,enferme,enfermá,enfermé"
